game_id,game_date,team_abbrev,home_away,shots_for,shots_against,goals_for,goals_against
2023020174,2023-11-05,NJD,away,41,34,4,2
2023020175,2023-11-05,ANA,home,23,32,4,2
2023020175,2023-11-05,VGK,away,32,23,2,4
2023020176,2023-11-06,FLA,home,46,23,5,4
2023020176,2023-11-06,CBJ,away,23,46,4,5
2023020177,2023-11-06,TOR,home,34,31,6,5
2023020177,2023-11-06,TBL,away,31,34,5,6
2023020178,2023-11-06,DAL,home,37,29,2,3
2023020178,2023-11-06,BOS,away,29,37,3,2
2023020179,2023-11-06,VAN,home,36,43,6,2
2023020179,2023-11-06,EDM,away,43,36,2,6
2023020180,2023-11-07,CAR,home,27,21,3,2
2023020180,2023-11-07,BUF,away,21,27,2,3
2023020181,2023-11-07,MTL,home,26,32,3,5
2023020181,2023-11-07,TBL,away,32,26,5,3
2023020182,2023-11-07,NYI,home,29,31,2,4
2023020182,2023-11-07,MIN,away,31,29,4,2
2023020183,2023-11-07,NYR,home,32,28,5,3
2023020183,2023-11-07,DET,away,28,32,3,5
2023020184,2023-11-07,STL,home,22,37,2,5
2023020184,2023-11-07,WPG,away,37,22,5,2
2023020185,2023-11-07,ARI,home,27,38,4,3
2023020185,2023-11-07,SEA,away,38,27,3,4
2023020186,2023-11-07,CGY,home,39,18,4,2
2023020186,2023-11-07,NSH,away,18,39,2,4
2023020187,2023-11-07,ANA,home,31,36,0,2
2023020187,2023-11-07,PIT,away,36,31,2,0
2023020188,2023-11-07,COL,home,32,23,6,3
2023020188,2023-11-07,NJD,away,23,32,3,6
2023020189,2023-11-07,SJS,home,19,39,2,1
2023020189,2023-11-07,PHI,away,39,19,1,2
2023020190,2023-11-08,TOR,home,30,31,3,6
2023020190,2023-11-08,OTT,away,31,30,6,3
2023020191,2023-11-08,WSH,home,28,25,3,4
2023020191,2023-11-08,FLA,away,25,28,4,3
2023020192,2023-11-08,VGK,home,38,33,1,4
2023020192,2023-11-08,LAK,away,33,38,4,1
2023020193,2023-11-09,BOS,home,35,29,5,2
2023020193,2023-11-09,NYI,away,29,35,2,5
2023020194,2023-11-09,CBJ,home,29,31,2,5
2023020194,2023-11-09,DAL,away,31,29,5,2
2023020195,2023-11-09,DET,home,29,27,2,3
2023020195,2023-11-09,MTL,away,27,29,3,2
2023020196,2023-11-09,NYR,home,28,26,4,1
2023020196,2023-11-09,MIN,away,26,28,1,4
2023020197,2023-11-09,OTT,home,30,16,2,5
2023020197,2023-11-09,VAN,away,16,30,5,2
2023020198,2023-11-09,TBL,home,33,29,3,5
2023020198,2023-11-09,CHI,away,29,33,5,3
2023020199,2023-11-09,STL,home,33,20,2,1
2023020199,2023-11-09,ARI,away,20,33,1,2
2023020200,2023-11-09,WPG,home,37,23,6,3
2023020200,2023-11-09,NSH,away,23,37,3,6
2023020201,2023-11-09,COL,home,26,22,3,4
2023020201,2023-11-09,SEA,away,22,26,4,3
2023020202,2023-11-09,LAK,home,36,20,3,4
2023020202,2023-11-09,PIT,away,20,36,4,3
2023020203,2023-11-09,SJS,home,18,41,3,2
2023020203,2023-11-09,EDM,away,41,18,2,3
2023020204,2023-11-10,BUF,home,25,35,3,2
2023020204,2023-11-10,MIN,away,35,25,2,3
2023020205,2023-11-10,FLA,home,35,30,5,2
2023020205,2023-11-10,CAR,away,30,35,2,5
2023020206,2023-11-10,NJD,home,26,27,2,4
2023020206,2023-11-10,WSH,away,27,26,4,2
2023020207,2023-11-10,TOR,home,36,28,5,4
2023020207,2023-11-10,CGY,away,28,36,4,5
2023020208,2023-11-10,ANA,home,38,36,3,6
2023020208,2023-11-10,PHI,away,36,38,6,3
2023020209,2023-11-10,VGK,home,39,20,5,0
2023020209,2023-11-10,SJS,away,20,39,0,5
2023020210,2023-11-11,DET,home,28,22,5,4
2023020210,2023-11-11,CBJ,away,22,28,4,5
2023020211,2023-11-11,WPG,home,33,29,2,3
2023020211,2023-11-11,DAL,away,29,33,3,2
2023020212,2023-11-11,MTL,home,27,28,3,2
2023020212,2023-11-11,BOS,away,28,27,2,3
2023020213,2023-11-11,OTT,home,38,25,4,1
2023020213,2023-11-11,CGY,away,25,38,1,4
2023020214,2023-11-11,TBL,home,22,32,0,4
2023020214,2023-11-11,CAR,away,32,22,4,0
2023020215,2023-11-11,TOR,home,22,33,5,2
2023020215,2023-11-11,VAN,away,33,22,2,5
2023020216,2023-11-11,NYI,home,37,28,1,4
2023020216,2023-11-11,WSH,away,28,37,4,1
2023020217,2023-11-11,PIT,home,39,35,4,0
2023020217,2023-11-11,BUF,away,35,39,0,4
2023020218,2023-11-11,NSH,home,42,25,5,7
2023020218,2023-11-11,ARI,away,25,42,7,5
2023020219,2023-11-11,COL,home,38,42,2,8
2023020219,2023-11-11,STL,away,42,38,8,2
2023020220,2023-11-11,SEA,home,18,26,1,4
2023020220,2023-11-11,EDM,away,26,18,4,1
2023020221,2023-11-11,LAK,home,37,26,2,4
2023020221,2023-11-11,PHI,away,26,37,4,2
2023020222,2023-11-12,FLA,home,31,26,4,3
2023020222,2023-11-12,CHI,away,26,31,3,4
2023020223,2023-11-12,MIN,home,26,37,3,8
2023020223,2023-11-12,DAL,away,37,26,8,3
2023020224,2023-11-12,MTL,home,32,37,2,5
2023020224,2023-11-12,VAN,away,37,32,5,2
2023020225,2023-11-12,NYR,home,40,28,4,3
2023020225,2023-11-12,CBJ,away,28,40,3,4
2023020226,2023-11-12,ANA,home,44,26,4,1
2023020226,2023-11-12,SJS,away,26,44,1,4
2023020227,2023-11-13,EDM,home,32,33,4,1
2023020227,2023-11-13,NYI,away,33,32,1,4
2023020228,2023-11-13,SEA,home,19,31,1,5
2023020228,2023-11-13,COL,away,31,19,5,1
2023020229,2023-11-14,BUF,home,34,32,2,5
2023020229,2023-11-14,BOS,away,32,34,5,2
2023020230,2023-11-14,CBJ,home,30,41,3,5
2023020230,2023-11-14,PIT,away,41,30,5,3
2023020231,2023-11-14,MTL,home,35,29,1,2
2023020231,2023-11-14,CGY,away,29,35,2,1
2023020232,2023-11-14,WSH,home,31,35,3,0
2023020232,2023-11-14,VGK,away,35,31,0,3
2023020233,2023-11-14,DAL,home,36,26,4,3
2023020233,2023-11-14,ARI,away,26,36,3,4
2023020234,2023-11-14,NSH,home,30,20,2,3
2023020234,2023-11-14,ANA,away,20,30,3,2
2023020235,2023-11-14,STL,home,29,30,5,0
2023020235,2023-11-14,TBL,away,30,29,0,5
2023020236,2023-11-14,WPG,home,31,34,6,3
2023020236,2023-11-14,NJD,away,34,31,3,6
2023020237,2023-11-14,SJS,home,22,31,3,5
2023020237,2023-11-14,FLA,away,31,22,5,3
2023020238,2023-11-15,CAR,home,32,24,1,3
2023020238,2023-11-15,PHI,away,24,32,3,1
2023020239,2023-11-15,EDM,home,31,35,4,3
2023020239,2023-11-15,SEA,away,35,31,3,4
2023020240,2023-11-15,COL,home,38,17,8,2
2023020240,2023-11-15,ANA,away,17,38,2,8
2023020241,2023-11-15,VAN,home,43,33,4,3
2023020241,2023-11-15,NYI,away,33,43,3,4
2023020242,2023-11-16,OTT,home,34,41,5,4
2023020242,2023-11-16,DET,away,41,34,4,5
2023020243,2023-11-16,CBJ,home,41,32,2,3
2023020243,2023-11-16,ARI,away,32,41,3,2
2023020244,2023-11-16,MTL,home,28,42,5,6
2023020244,2023-11-16,VGK,away,42,28,6,5
2023020245,2023-11-16,PIT,home,23,31,2,5
2023020245,2023-11-16,NJD,away,31,23,5,2
2023020246,2023-11-16,CHI,home,14,32,2,4
2023020246,2023-11-16,TBL,away,32,14,4,2
2023020247,2023-11-16,CGY,home,39,22,5,2
2023020247,2023-11-16,VAN,away,22,39,2,5
2023020248,2023-11-16,SEA,home,32,23,4,3
2023020248,2023-11-16,NYI,away,23,32,3,4
2023020249,2023-11-16,LAK,home,27,31,2,1
2023020249,2023-11-16,FLA,away,31,27,1,2
2023020250,2023-11-16,SJS,home,35,45,5,1
2023020250,2023-11-16,STL,away,45,35,1,5
2023020251,2023-11-17,DET,home,29,29,2,3
2023020251,2023-11-17,TOR,away,29,29,3,2
2023020252,2023-11-17,WPG,home,18,28,3,2
2023020252,2023-11-17,BUF,away,28,18,2,3
2023020253,2023-11-17,ANA,home,35,35,1,2
2023020253,2023-11-17,FLA,away,35,35,2,1
2023020254,2023-11-18,OTT,home,31,25,2,1
2023020254,2023-11-18,MIN,away,25,31,1,2
2023020255,2023-11-18,PHI,home,38,31,4,3
2023020255,2023-11-18,VGK,away,31,38,3,4
2023020256,2023-11-18,NSH,home,31,31,4,2
2023020256,2023-11-18,CHI,away,31,31,2,4
2023020257,2023-11-18,TBL,home,24,42,6,4
2023020257,2023-11-18,EDM,away,42,24,4,6
2023020258,2023-11-18,BOS,home,44,22,5,2
2023020258,2023-11-18,MTL,away,22,44,2,5
2023020259,2023-11-18,CAR,home,34,28,4,2
2023020259,2023-11-18,PIT,away,28,34,2,4
2023020260,2023-11-18,CGY,home,39,33,4,5
2023020260,2023-11-18,NYI,away,33,39,5,4
2023020261,2023-11-18,NJD,home,33,35,3,5
2023020261,2023-11-18,NYR,away,35,33,5,3
2023020262,2023-11-18,WPG,home,26,18,5,2
2023020262,2023-11-18,ARI,away,18,26,2,5
2023020263,2023-11-18,WSH,home,26,36,4,3
2023020263,2023-11-18,CBJ,away,36,26,3,4
2023020264,2023-11-18,DAL,home,28,38,3,6
2023020264,2023-11-18,COL,away,38,28,6,3
2023020265,2023-11-18,VAN,home,24,26,3,4
2023020265,2023-11-18,SEA,away,26,24,4,3
2023020266,2023-11-18,LAK,home,31,30,5,1
2023020266,2023-11-18,STL,away,30,31,1,5
