team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
toronto-maple-leafs,chicago-blackhawks,Artur Akhtyamov,Backup Goalie,g2,Goalies,g,,,False,2025-12-16,,
utah-hockey-club,boston-bruins,Karel Vejmelka,Starting Goalie,g1,Goalies,g,70.0,,False,2025-12-16,,
utah-hockey-club,boston-bruins,Vitek Vanecek,Backup Goalie,g2,Goalies,g,41.0,,False,2025-12-16,,
vancouver-canucks,new-york-rangers,Thatcher Demko,Starting Goalie,g1,Goalies,g,35.0,,False,2025-12-16,,
vancouver-canucks,new-york-rangers,Kevin Lankinen,Backup Goalie,g2,Goalies,g,32.0,,False,2025-12-16,,
washington-capitals,minnesota-wild,Logan Thompson,Starting Goalie,g1,Goalies,g,48.0,,False,2025-12-16,,
washington-capitals,minnesota-wild,Charlie Lindgren,Backup Goalie,g2,Goalies,g,79.0,,False,2025-12-16,,
carolina-hurricanes,nashville-predators,Brandon Bussi,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-17,,
carolina-hurricanes,nashville-predators,Pyotr Kochetkov,Backup Goalie,g2,Goalies,g,52.0,,False,2025-12-17,,
detroit-red-wings,utah-hockey-club,Cam Talbot,Starting Goalie,g1,Goalies,g,39.0,,False,2025-12-17,,
detroit-red-wings,utah-hockey-club,John Gibson,Backup Goalie,g2,Goalies,g,36.0,,False,2025-12-17,,
florida-panthers,los-angeles-kings,Sergei Bobrovsky,Starting Goalie,g1,Goalies,g,72.0,,False,2025-12-17,,
florida-panthers,los-angeles-kings,Daniil Tarasov,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-17,,
los-angeles-kings,florida-panthers,Anton Forsberg,Starting Goalie,g1,Goalies,g,31.0,,False,2025-12-17,,
los-angeles-kings,florida-panthers,Pheonix Copley,Backup Goalie,g2,Goalies,g,,,False,2025-12-17,,
nashville-predators,carolina-hurricanes,Juuse Saros,Starting Goalie,g1,Goalies,g,74.0,,False,2025-12-17,,
nashville-predators,carolina-hurricanes,Justus Annunen,Backup Goalie,g2,Goalies,g,29.0,,False,2025-12-17,,
new-jersey-devils,vegas-golden-knights,Jacob Markstrom,Starting Goalie,g1,Goalies,g,25.0,,False,2025-12-17,,
new-jersey-devils,vegas-golden-knights,Jake Allen,Backup Goalie,g2,Goalies,g,34.0,,False,2025-12-17,,
st-louis-blues,winnipeg-jets,Jordan Binnington,Starting Goalie,g1,Goalies,g,50.0,,False,2025-12-17,,
st-louis-blues,winnipeg-jets,Joel Hofer,Backup Goalie,g2,Goalies,g,30.0,,False,2025-12-17,,
utah-hockey-club,detroit-red-wings,Karel Vejmelka,Starting Goalie,g1,Goalies,g,70.0,,False,2025-12-17,,
utah-hockey-club,detroit-red-wings,Vitek Vanecek,Backup Goalie,g2,Goalies,g,41.0,,False,2025-12-17,,
vegas-golden-knights,new-jersey-devils,Carter Hart,Starting Goalie,g1,Goalies,g,79.0,,False,2025-12-17,,
vegas-golden-knights,new-jersey-devils,Akira Schmid,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-17,,
winnipeg-jets,st-louis-blues,Connor Hellebuyck,Starting Goalie,g1,Goalies,g,37.0,,False,2025-12-17,,
winnipeg-jets,st-louis-blues,Eric Comrie,Backup Goalie,g2,Goalies,g,1.0,,False,2025-12-17,,
boston-bruins,edmonton-oilers,Jeremy Swayman,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-18,,
